orig_index,Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées,CombinedArtists,is_jury,paired_competitons,comp_id
1572,"Concours pour un groupe scolaire et une salle de gymnastique à Guin (Fribourg), jugement",,,,,,Düdingen/Guin,,Suisse,1962-01-17,1962-01-18,,Extraits du rapport du jury BTSR 1962 p.165. Seize projets remis dans les délais.  1er prix 4'500.-  2e prix 3'500.-  3e prix 2'500.-  4e prix 2'000.-  5e prix 1'500.-,"Haymoz, Jean-Paul;Stulz, Georges;Delley, Alphonse;Gerber, Paul;Baechler, Otto +;Passer, Charles +",2e prix;3e prix;4e prix;5e prix;1er  prix;1er  prix,,,"[array(['Haymoz, Jean-Paul'], dtype=object)
 array(['Stulz, Georges'], dtype=object)
 array(['Delley, Alphonse'], dtype=object)
 array(['Gerber, Paul'], dtype=object)
 array(['Baechler, Otto, Passer, Charles'], dtype=object)]",True,[416],1572
1573,Concours pour le Bureau international du Travail,Administration,,,,,Genève,,Suisse,1923-02-17,1923-05-19,Suisses et établis en Suisse,Extrait du programme BTSR 1923 p.63. Ouvert aux architectes suisses ou établis en Suisse depuis dix ans. Adolphe Guyonnet est désigné comme rapporteur.,"Brincourt, Maurice;Butler, H.-B;Warren, E.-P;Usteri, Paul;Piacentini, P;Lloyd, F.-I;Guyonnet, Adolphe;Fontaine, Arthur;Turrettini, Maurice","Juré;Juré;Juré;Juré, président;Juré;Assiste au jury;Juré;Juré, président;Juré, suppléant",0002.04.0152,,"[array(['Brincourt, Maurice'], dtype=object)
 array(['Butler, H.-B'], dtype=object)
 array(['Warren, E.-P'], dtype=object)
 array(['Usteri, Paul'], dtype=object)
 array(['Piacentini, P'], dtype=object)
 array(['Lloyd, F.-I'], dtype=object)
 array(['Guyonnet, Adolphe'], dtype=object)
 array(['Fontaine, Arthur'], dtype=object)
 array(['Turrettini, Maurice'], dtype=object)]",False,[],1573
1574,Concours pour le Bureau international du Travail: jugement,Administration,,,,,Genève,,Suisse,1923-02-17,1923-05-28,Suisses et établis en Suisse,,"Savary, J. Daniel;Furrer, +;Rittmeyer, Robert +;Epitaux, Georges;Thévenaz, Charles;Laverrière, Alphonse",3e prix;4e prix;4e prix;Juré;1er  prix;,,,"[array(['Savary, J. Daniel'], dtype=object)
 array(['Furrer,', 'Rittmeyer, Robert', 'Epitaux, Georges'], dtype=object)
 array(['Thévenaz, Charles'], dtype=object)
 array(['Laverrière, Alphonse'], dtype=object)]",True,[1573],1574
1575,Concours pour le Bureau international du Travail: projet Laverrière,Administration,,,,,Genève,,Suisse,1923-02-17,1923-05-19,Suisses et établis en Suisse,,"Laverrière, Alphonse",,0002.04.0167,,"[array(['Laverrière, Alphonse'], dtype=object)]",False,[],1575
1576,Concours pour un Hôtel des Postes à Winterthur,,,,,,Winterthur,,Zurich,1894-03-17,1894-07-15,A. national,Ouvert par le Département de l'Intérieur entre les architectes suisses ou établis en Suisse. Description du programme SBZ vol. XXIII p.72,"Vischer, Eduard;Prince, Ernest;Lutz, H;Flückiger, Arnold",Juré;Juré;Juré;Juré,,,"[array(['Vischer, Eduard'], dtype=object)
 array(['Prince, Ernest'], dtype=object) array(['Lutz, H'], dtype=object)
 array(['Flückiger, Arnold'], dtype=object)]",False,[1692],1576
1577,"Concours pour un bâtiment destiné à remplacer celui dit ""des Concierges"", Cité-Devant, à Lausanne, devise: ""Placette""",Habitation plurifamiliale,"Cité-Devant, Rue",,,,,,,1918-04-17,,,,,,0121.04.0006,,,False,[],1577
1578,"Concours pour un bâtiment destiné à remplacer celui dit ""des concierges"", Cité-Devant, à Lausanne, jugement",,"Cité-Devant 6, rue",,,,Lausanne,,Vaud,1918-04-17,,,Rapport du jury BTSR p.102. Vingt-quatre projets déposés. Voir aussi BTSR p.86 et 94.;1er prix 600.-  2e prix 500.-  3e prix 400.-,"Guignet, Alphonse;Thévenaz, Charles &;Schnell, Maurice &;Epitaux, Georges",2e prix;3e prix ex aequo;3e prix ex aequo;Juré,,,"[array(['Guignet, Alphonse'], dtype=object)
 array(['Thévenaz, Charles', 'Schnell, Maurice', 'Epitaux, Georges'],
       dtype=object)                                                 ]",True,[136],1578
1579,Concours pour un nouveau cimetière à Sierre,,,,,,Sierre,,Suisse,1943-04-17,1943-07-15,Romand,"Ouvert par la Municipalité entre les architectes, ingénieurs et techniciens établis en Valais ou dans les cantons de Suisse romande. S'agit-il bien d'Otto Schmid (indication O. Schmid)?","Schmid, Otto;Dubelbeiss, Ch;Schmidt, Ch;Pellanda, R;Mayor, J2",Juré;Juré;Juré;Juré;Juré,,,"[array(['Schmid, Otto'], dtype=object)
 array(['Dubelbeiss, Ch'], dtype=object)
 array(['Schmidt, Ch'], dtype=object) array(['Pellanda, R'], dtype=object)
 array(['Mayor, J2'], dtype=object)]",False,[1937],1579
1580,"Concours pour un bâtiment pour une une Ecole professionelle à Lausanne, jugement",,"Beaulieu, château de",,,,Lausanne,,Vaud,1915-05-17,1915-05-18,,"Rapport du jury BTSR 1915 p.136. Trente projets reçus, tous dans les délais. 1er prix 2'000.-  2e prix 1'500.-  Trois 3e prix ex a. 1'000.-","Dubois, Charles &;Laverrière, Alphonse &;Thévenaz, Charles &;Rham, Maximilien de &;Schnell, Maurice &;Peloux, Georges &;Monod, Eugène &;Epitaux, Georges;Taillens, Jean &",Mention honorable;Architecte;3e prix ex aequo;1er  prix;3e prix ex aequo;1er  prix;Architecte;Juré;Mention honorable,,,"[array(['Dubois, Charles', 'Laverrière, Alphonse', 'Thévenaz, Charles',
        'Rham, Maximilien de', 'Schnell, Maurice', 'Peloux, Georges',
        'Monod, Eugène', 'Epitaux, Georges'], dtype=object)
 array(['Taillens, Jean'], dtype=object)]",True,[1844],1580
1581,"Concours pour un bâtiment pour une une Ecole professionelle à Lausanne, jugement",,"Beaulieu, château de",,,,Lausanne,,Vaud,1915-05-17,1915-05-18,,"Rapport du jury BTSR 1915 pp.119, publ. des résultats et 136, rapport du jury. Trente projets reçus, tous dans les délais. 1er prix 2'000.-  2e prix 1'500.-  Trois 3e prix ex a. 1'000.-. Critères principaux: implantation sur le terrain, disposition archit. cube. Pour le projet ""Md'O"" on souligne la qualité des façades.","Epitaux, Georges;Monod, Eugène &;Taillens, Jean &;Dubois, Charles &;Rham, Maximilien de &;Laverrière, Alphonse &;Peloux, Georges &",Juré;Architecte;Mention honorable;Mention honorable;1er  prix;Architecte;3e prix,,,"[array(['Epitaux, Georges'], dtype=object)
 array(['Monod, Eugène, Taillens, Jean, Dubois, Charles, Rham, Maximilien de, Laverrière, Alphonse, Peloux, Georges'],
       dtype=object)                                                                                                  ]",True,[1844],1581
1582,"Concours pour un Hospice des Vieillards et des Invalides à Delémont, jugement",,"Rières les Capucins, lieu-dit",,,,Delémont,,Jura,1915-05-17,1915-05-18,,Rapport du jury BTSR p.207. Cinquante-cinq projets présentés. 1er prix 1'300.-  2e prix 1'100.-  3e prix 900.-  4e prix 700.-,"Hofmann, Max;Bosset, Louis &;Lanzrein, Alfred;Widmer, Alfred &;Calini, Richard &;Erlacher, Emanuel &;Bueche, Louis &",4e prix;2e prix;3e prix;1er  prix;1er  prix;1er  prix;2e prix,,,"[array(['Hofmann, Max'], dtype=object)
 array(['Bosset, Louis', 'Lanzrein, Alfred'], dtype=object)
 array(['Widmer, Alfred, Calini, Richard, Erlacher, Emanuel, Bueche, Louis'],
       dtype=object)                                                         ]",True,[1272],1582
1583,"Concours international pour un pont sur le Rhin, à Bâle (Dreirosenbrücke)",,Voltaplatz,Klybeckstrasse,,,Basel,,Suisse,1930-05-17,1930-09-30,,Ouvert par le Département des travaux publics du canton,"Rapp, J;Bosshardt, O;Vischer, Paul G;Ros, M;Brenner, A;Abel, A.;Ritter, M;Hünerwadel, Theodor;Moor, C;Karner, L;Bühler, Adolf J.","Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré, suppléant;Suppléant;Juré;Expert",,,"[array(['Rapp, J'], dtype=object) array(['Bosshardt, O'], dtype=object)
 array(['Vischer, Paul G'], dtype=object) array(['Ros, M'], dtype=object)
 array(['Brenner, A'], dtype=object) array(['Abel, A.'], dtype=object)
 array(['Ritter, M'], dtype=object)
 array(['Hünerwadel, Theodor'], dtype=object)
 array(['Moor, C'], dtype=object) array(['Karner, L'], dtype=object)
 array(['Bühler, Adolf J.'], dtype=object)]",False,[1331],1583
1584,"Concours pour l'hôpital de Lugano, jugement",,,,,,Lugano,,Suisse,1901-06-17,,,SBZ p.278.Douze projets reçus dans les délais. Pas de 1er prix. 2e prix 900.- 3e prix 600.-,"Ferla, Giuseppe;Roth-Hechingen, Paul",2e prix;3e prix,,,"[array(['Ferla, Giuseppe'], dtype=object)
 array(['Roth-Hechingen, Paul'], dtype=object)]",True,[1393],1584
1585,Concours d'architecture et de décoration ouvert par l'Ecole cantonale vaudoise de dessin et d'art appliqué,,,,,,,,Suisse,1937-07-17,1937-09-24,Cantonal,"Ouvert par l'ecole cantonale vaudoise de dessin et d'art appliqué, en collaboration avec le Groupe des architectes de la SVIA entre les dessinateurs, apprentis élèves architectes et décorateurs, agés de moins de 30 ans et domiciliés dans le canton . 2 sujets : A) Un petit musée pour fragments d'art antique  B) Une salle d'attente dans une gare de chemin de fer. Récompenses : 700.-. Pas d'indication de résultats dans le BTSR.","Gilliard, Frédéric;Vouga, Jean-Pierre;Bischoff, H;Mennet, Jean-Jacques;Reymond, Casimir;Von der Mühll, Henri Robert","Juré, suppléant;Juré;Juré;Juré;Juré;Juré, suppléant",,,"[array(['Gilliard, Frédéric'], dtype=object)
 array(['Vouga, Jean-Pierre'], dtype=object)
 array(['Bischoff, H'], dtype=object)
 array(['Mennet, Jean-Jacques'], dtype=object)
 array(['Reymond, Casimir'], dtype=object)
 array(['Von der Mühll, Henri Robert'], dtype=object)]",False,[],1585
1586,"Concours pour les motifs de sculpture destinés au quai Turrettini, à Genève",,"Turrettini, quai",,,,Genève,,Genève,1937-07-17,,Cantonal,Ouvert (pas d'indication du MO) entre les sculpteurs genevois ou domiciliés à Genève avant le 1er janvier 1930. Description des conditions du concours BTSR 1937 p.192,"Vibert, James;Unger, Emile;Baumgartner, Max;Haller, H;Vierne, André;Braillard, Maurice",Juré;Juré;Juré;Juré;Collaborateur;2e prix,,,"[array(['Vibert, James'], dtype=object)
 array(['Unger, Emile'], dtype=object)
 array(['Baumgartner, Max'], dtype=object)
 array(['Haller, H'], dtype=object) array(['Vierne, André'], dtype=object)
 array(['Braillard, Maurice'], dtype=object)]",False,[1129],1586
1587,"Concours pour le bâtiment de l'Ecole de médecine, à Lausanne, jugement",,"Bugnon, rue du",,,,Lausanne,,Vaud,1951-07-17,1951-07-25,,"Extrait du rapport du jury BTSR 1951 p.373. Délibération les 17,18,24 et 25 juillet. Le jury avait préparé le programme le 2 février.Vingt-quatre projets remis dans les délais. Apparemment premier concours où le BTSR reproduise une maquette livrée à chaque concurrent et faisant partie du rendu (probablement 1/500, fond en plâtre).  1er prix 4'500.-  2e prix 4'300.-  3e prix 4'200.-  4e prix 3'000.-  5e prix 2'500.-  6e prix 1'500.-","Zumbrunnen, J, coll.;Favre, Jacques;Ferrari, Italo +;Pahud, Arnold +;Vuilleumier, Hubert-S, coll.;Mamin, Eugène;Chappuis, Aloïs;Freudenreich, Jacques de;Piccard, Marc;Lévy, Marx","2e prix;Juré;1er  prix;1er  prix;1er  prix;Indemn. 10e rang;Juré;6e prix;Juré;Juré, président",,,"[array(['Zumbrunnen, J, coll.'], dtype=object)
 array(['Favre, Jacques'], dtype=object)
 array(['Ferrari, Italo', 'Pahud, Arnold', 'Vuilleumier, Hubert-S, coll.'],
       dtype=object)
 array(['Mamin, Eugène'], dtype=object)
 array(['Chappuis, Aloïs'], dtype=object)
 array(['Freudenreich, Jacques de'], dtype=object)
 array(['Piccard, Marc'], dtype=object)
 array(['Lévy, Marx'], dtype=object)]",True,[2020],1587
1588,Concours d'idées (1er degré) pour la zone de la gare de Lucerne,,,,,,Luzern,,Suisse,1975-07-17,1976-04-02,National,"Ouvert par les CFF, PTT, canton et ville de Lucerne entre les spécialistes suisses ou étrangers établis en Suisse dès avant le 1.1.1972. Pas d'indication de composition du jury dans le BTSR (extrait du programme p.241). Composition du jury et programme AWS 1976 n°3/4. Le seul rommand membre du jury est apparemment F. Brugger","Brugger, Frédéric","Juré, suppléant",,,"[array(['Brugger, Frédéric'], dtype=object)]",False,[2117],1588
1589,"Concours d'idées pour un Casino-Théâtre, à Fribourg",,Grand-Places,,,,Fribourg,,Fribourg,1906-08-17,1906-11-30,A.dom.suisse & suiss,"Programme BTSR 1906, p.191. Ouvert par le Comité du Casino-Théâtre aux architectes domiciliés en Suisse et suisses domiciliés à l'étranger. Le jury appelle Auguste Schorderet à participer à ses séances, avec la fonction de secrétaire du jury. ","Wurstemberger, René von;von Eggis;Moser, Karl;Weck, Ernest de;Rychner, Alfred;Schorderet, Auguste","Juré;Juré;2e prix ex aequo;Juré;2e prix ex aequo;Juré, secrétaire",,,"[array(['Wurstemberger, René von'], dtype=object)
 array(['von Eggis'], dtype=object) array(['Moser, Karl'], dtype=object)
 array(['Weck, Ernest de'], dtype=object)
 array(['Rychner, Alfred'], dtype=object)
 array(['Schorderet, Auguste'], dtype=object)]",False,[1371],1589
1590,"Concours d'architecture et de décoration organisé par l'Ecole cantonale vaudoise de dessin et d'art appliqué, jugement",,,,,,,,Suisse,1935-09-17,,,"Pas de rapport du jury ni d'indication des montants individuels des prix (au total 700.-, ancun prix inférieur à 30.-). Vingt-six projets reçus pour le concours A. Dix pour le concours B. Prix : 700.- à la disposition du jury.","Rey, C;Mamie, P;Pahud, Arnold;Pache, A;Monnerat, P.-L;Estoppey, Pierre;Murisier, Bernard;Polla, R;Gratraud, D +;Aubort, A;Perreaud, M +","2e prix;3e prix;Juré;4e prix;1er  prix, 4e prix;1er  prix;4e prix;2e prix ex aequo;5e prix ex aequo;5e prix ex aequo;5e prix ex aequo",,,"[array(['Rey, C'], dtype=object) array(['Mamie, P'], dtype=object)
 array(['Pahud, Arnold'], dtype=object) array(['Pache, A'], dtype=object)
 array(['Monnerat, P.-L'], dtype=object)
 array(['Estoppey, Pierre'], dtype=object)
 array(['Murisier, Bernard'], dtype=object)
 array(['Polla, R'], dtype=object)
 array(['Gratraud, D', 'Aubort, A'], dtype=object)
 array(['Perreaud, M'], dtype=object)]",True,[1736],1590
1591,"Concours pour une église à Gland, jugement",,,,,,Gland,,Vaud,1963-09-17,1963-09-18,,"Extraits du rapport du jury BTSR 1964 p.161. Dix-neuf projets remis dans les délais.  1er prix 4'000.-  2e prix 2'500.-  3e prix 2'000.-  4e prix 1'500.-  Selon le jury, aucun projet ne s'impose de manière indiscutable et le projet placé au premier rang ne peut être exécuté sans ""de sérieuses modifications""","Magnin, Michel;Calame, Bernard &;Gut, Marcel &;Richter, Max &;Raccoursier, Claude &;Raccoursier, Anne-Marie &;Schlaeppi, Jean &",4e prix;5e prix;2e prix;2e prix;1er  prix;1er  prix;5e prix,,,"[array(['Magnin, Michel'], dtype=object)
 array(['Calame, Bernard, Gut, Marcel, Richter, Max, Raccoursier, Claude, Raccoursier, Anne-Marie, Schlaeppi, Jean'],
       dtype=object)                                                                                                 ]",True,[440],1591
1592,"Concours pour des bâtiments scolaires à Bulle, jugement",,,,,,Bulle,,Suisse,1942-10-17,1942-10-18,,Jugement du jury BTSR 1942 p.275. Trente projets remis dans les délais.  1er prix 2'500.-  2e prix 2'200.-  3e prix 1'800.-  4e prix 1'500.-  5e prix 1'000.- Un achat (sans indication de l'auteur),"Waeber, Marcel &;Waeber, Louis &;Blanc, Henri;Python, H;Genoud, Louis;Rollinet, J",2e prix;2e prix;5e prix;4e prix;4e prix;1er  prix,,,"[array(['Waeber, Marcel', 'Waeber, Louis', 'Blanc, Henri'], dtype=object)
 array(['Python, H'], dtype=object) array(['Genoud, Louis'], dtype=object)
 array(['Rollinet, J'], dtype=object)]",True,[1923],1592
1593,Concours pour le nouvel hôpital de Lugano,,,,,,Lugano,,Suisse,1964-10-17,1965-05-05,A. national,"Concours de projets ouvert par la Municipalité entre tous les architectes diplômés inscrits à la SIA ou FAS ou OTIA et domiciliés en Suisse depuis le 1.1.1962. Pas de mention des résultats dans le BTSR, chercher dans Rivista tecnica","Rauber, H;Lozeron, Arthur;Pagnamenta, Sergio;Müggler, A;Riva, Valdo;De Stoppani, E;Pelli, F","Juré;Mention spéciale;Juré;Juré;Juré;Juré;Juré, président",,,"[array(['Rauber, H'], dtype=object)
 array(['Lozeron, Arthur'], dtype=object)
 array(['Pagnamenta, Sergio'], dtype=object)
 array(['Müggler, A'], dtype=object) array(['Riva, Valdo'], dtype=object)
 array(['De Stoppani, E'], dtype=object) array(['Pelli, F'], dtype=object)]",False,[],1593
1594,"Concours d'idées en vue de l'aménagement du quartier du Seujet et du quai Turrettini, à Genève",,"Turrettini, quai","Temple, rue du","Seujet, rue du",,Genève,,Genève,1917-11-17,1918-04-15,A.genev.ou dom.c.,Ouvert par la Ville de Genève entre les architectes genevois ou domiciliés à Genève depuis deux ans au moins. Description du programmme BTSR p.234,"Perrier, Louis;Deléamont, Pierre;Camoletti, Marc;Moser, Karl;Taillens, Jean;Martin, Camille;Fulpius, Frantz;Propper, Emanuel Jirka;Bouvier, Paul;Oltramare, Hugues","Juré;Juré;Juré;2e prix ex aequo;Juré;Juré;Juré;Juré;2e prix ex aequo;Juré, président",,,"[array(['Perrier, Louis'], dtype=object)
 array(['Deléamont, Pierre'], dtype=object)
 array(['Camoletti, Marc'], dtype=object)
 array(['Moser, Karl'], dtype=object)
 array(['Taillens, Jean'], dtype=object)
 array(['Martin, Camille'], dtype=object)
 array(['Fulpius, Frantz'], dtype=object)
 array(['Propper, Emanuel Jirka'], dtype=object)
 array(['Bouvier, Paul'], dtype=object)
 array(['Oltramare, Hugues'], dtype=object)]",False,[1357],1594
1595,"Concours pour un abattoir, à Sion",,,,,,Sion,,Suisse,1928-11-17,1929-02-01,A.et tech.suisses,Ouvert par la Commune de Sion entre architectes et techniciens suisses. Baumann est apparemment absent et remplacé par R. Kaufmann,"Rivaz, P de;Genoud, Louis;Flückiger;Duc, Abel;Baumann, Walter;Kaufmann, R","Juré;4e prix;Juré;Juré;6e prix;Juré, suppléant",,,"[array(['Rivaz, P de'], dtype=object)
 array(['Genoud, Louis'], dtype=object) array(['Flückiger'], dtype=object)
 array(['Duc, Abel'], dtype=object)
 array(['Baumann, Walter'], dtype=object)
 array(['Kaufmann, R'], dtype=object)]",False,[1647],1595
1596,"Concours d'idées pour le lotissement du domaine du ""Mervelet"", jugement",,,,,,Genève (Petit-Saconnex),,Suisse,1912-12-17,1912-12-18,,"Rapport du jury BTSR 1913 p.19, 32 et 47. Vingt et un projets reçus dans les délais.  ;1er prix 3'500.-   2e prix 3'000.-   3e prix 2'500.-   4e prix1'600.-   5e prix 1'400.-","Austermayer, Joseph;Camoletti, Alexandre;Torcapel, John +;Guyonnet, Adolphe +;Favarger, Jacques;Fatio, Edmond","Concurrent;Juré;3e rang, 6e rang;3e rang, 6e rang;Juré;Juré",,,"[array(['Austermayer, Joseph'], dtype=object)
 array(['Camoletti, Alexandre'], dtype=object)
 array(['Torcapel, John', 'Guyonnet, Adolphe', 'Favarger, Jacques'],
       dtype=object)
 array(['Fatio, Edmond'], dtype=object)]",True,[1867],1596
1597,"Concours pour un projet de plage, à Vevey, jugement",,,,,,Vevey,,Vaud,1928-12-17,,,"Rapport du jury BTSR 1929 p.29. Six projets remis dans les délais. Chappuis, dessinateur-architecte à Vevey et employé, conserve le 2ème rang mais ne reçoit pas de prime. Schmid, invité, est-il l'auteur de l'un des deux projets rejetés et inconnus?  ;1er prix 1'100.-  2e prix 700.-  3e prix 400.-","Dumas, Louis;Chappuis;Zollinger, Otto;Schorp, Alphonse;Schmid","3e rang, 2e prix;2e rang;1er rang;3e prix;Invité, non primé",,,"[array(['Dumas, Louis'], dtype=object) array(['Chappuis'], dtype=object)
 array(['Zollinger, Otto'], dtype=object)
 array(['Schorp, Alphonse'], dtype=object) array(['Schmid'], dtype=object)]",True,[],1597
1598,"Concours pour un collège secondaire mixte à Béthusy, Lausanne, jugement",,,,,,Lausanne,,Vaud,1956-01-18,1956-01-31,,Extrait du rapport du jury BTSR 1956 p.309. Trente-trois projets remis dans les délais. 1er prix 4'500.-  2e prix 4'000.-  3e prix 3'500.-  4e prix 3'400.-  5e prix 3'000.-  6e prix 2'600.-  Un achat 3'000.-,"Daxelhofer, Henry;Rossetti, Humbert;Décoppet, Jean-Pierre &;Bonnard, Pierre;Keller, René;Margot, Pierre +;Lonchamp, Jacques +;Thévenaz, Charles-François &;Prod'hom, Pierre &",Achat;2e prix;3e prix;4e prix;3e prix;2e prix;3e prix;1er  prix;1er  prix,,,"[array(['Daxelhofer, Henry'], dtype=object)
 array(['Rossetti, Humbert'], dtype=object)
 array(['Décoppet, Jean-Pierre', 'Bonnard, Pierre'], dtype=object)
 array(['Keller, René'], dtype=object)
 array([""Margot, Pierre, Lonchamp, Jacques, Thévenaz, Charles-François, Prod'hom, Pierre""],
       dtype=object)                                                                       ]",True,[326],1598
1599,"Concours pour un Hôtel des Postes, Télégraphes et Douanes à Coire",,,,,,Chur,,Suisse,1899-02-18,1899-05-08,A. national,Ouvert par le Département de l'Intérieur entre les architectes suisses ou établis en S. Description du programme SBZ vol. XXXIII p.64,"Walser, Friedrich;Lutz, H;Lasius, G;Juvet, Henri-Ed.-L;Flückiger, Arnold",Juré;Juré;Juré;Juré;Juré,,,"[array(['Walser, Friedrich'], dtype=object)
 array(['Lutz, H'], dtype=object) array(['Lasius, G'], dtype=object)
 array(['Juvet, Henri-Ed.-L'], dtype=object)
 array(['Flückiger, Arnold'], dtype=object)]",False,[1411],1599
1600,"Concours d'idées pour les pavillons et la place de fête du Tir fédéral de 1934, à Fribourg",,,,,,Fribourg,,Suisse,1933-02-18,1933-03-31,,"Ouvert entre les architectes, ingénieurs et techniciens fribourgeois ou suisses domiciliés dans le canton depuis deux ans, apparemment par le Comité d'organisation. Pas d'indication des noms des personnes composant le jury; en font partie: le président du Comité d'organisation, le président et les membres du Comité des constructions, l'adjoint de l'Ingénieur cantonal (secrétaire). Pas de résultats dans le BTSR",,,,,,False,[],1600
1601,Concours pour le Temple national de Renens,,,,,,Renens,,Vaud,1933-03-18,1933-05-31,,Ouvert entre les architectes vaudois ouz suisses domiciliés dans le canton depuis un an. ,"Thévenaz, Charles;Meylan, E;Engelmann, T.-E;Bron, Eugène;Epitaux, Georges","Juré, président;Juré;Juré;Assiste au jury;Juré",,,"[array(['Thévenaz, Charles'], dtype=object)
 array(['Meylan, E'], dtype=object)
 array(['Engelmann, T.-E'], dtype=object)
 array(['Bron, Eugène'], dtype=object)
 array(['Epitaux, Georges'], dtype=object)]",False,[1100],1601
1602,"Concours d'idées pour l'aménagement du terrain appartenant à la Communauté catholique-romaine de Bâle, jugement",,,,,,Basel,,Suisse,1911-04-18,,,"Soixante-trois projets présentés. 1er prix 2'800.-  2e prix 2'200.-  3e prix 1'750.-  ;4e prix 1'250.- (La Roche, Stähelin & Cie)","Scheier, Jean;Meyer, Willy;Stähelin, Adolf &;La Roche, Emanuel &;Doppler, Gustav;Truniger, Paul;Rimli, Albert",2e prix;1er  prix;4e prix;4e prix;1er  prix;Mention honorable;4e prix,,,"[array(['Scheier, Jean'], dtype=object)
 array(['Meyer, Willy'], dtype=object)
 array(['Stähelin, Adolf', 'La Roche, Emanuel', 'Doppler, Gustav'],
       dtype=object)
 array(['Truniger, Paul'], dtype=object)
 array(['Rimli, Albert'], dtype=object)]",True,[1893],1602
1603,Concours international d'idées et d'urbanisme Vieille ville de Karlsruhe,,,,,,Karlsruhe,,Allemagne,1970-04-18,1970-11-15,International,"Ouvert en accord avec l'UIA par la Ville entre les architectes et urbanistes européens ou domicilié ou établis en Europe ainsi qu'aux étudiants en architecture inscrits dans une école d'architecture universitaire en Europe. Outre les jurés indiqués ci-dessus, le jury compte huit suppléants dont les noms ne sont pas mentionnées par le BTSR","Ungers, Oswald Matthias;Burckhardt, Lucius;Klotz, G;Bakema, J. B;Schaechterler, K. H;Lausch, W;Sieverts, Th;Förderer, Walter;Chmielewski, J",Juré;Juré;Juré;Juré;Juré;Juré;Juré;1er  prix;Juré,,,"[array(['Ungers, Oswald Matthias'], dtype=object)
 array(['Burckhardt, Lucius'], dtype=object)
 array(['Klotz, G'], dtype=object) array(['Bakema, J. B'], dtype=object)
 array(['Schaechterler, K. H'], dtype=object)
 array(['Lausch, W'], dtype=object) array(['Sieverts, Th'], dtype=object)
 array(['Förderer, Walter'], dtype=object)
 array(['Chmielewski, J'], dtype=object)]",False,[],1603
1604,Concours pour l'Hôtel de Ville de Vallorbe,,,,,,Vallorbe,,Suisse,1901-05-18,1901-08-15,,Suppl. BTSR 5.11.1901. Programme SBZ 1901 p.218. Ouvert par la municipalité de Vallorbe.  Montant total des récompenses 3'000.-,"Regamey, Jaques;Melley, Charles;Isoz, Francis",;Juré;Juré,,,"[array(['Regamey, Jaques'], dtype=object)
 array(['Melley, Charles'], dtype=object)
 array(['Isoz, Francis'], dtype=object)]",False,[2148 2149],1604
1605,Concours pour l'Hôtel de Ville de Vallorbe,Administration,,,,,Vallorbe,,Suisse,1901-05-18,1901-08-15,Suisses et établis en Suisse,Suppl. BTSR 5.11.1901. Programme SBZ 1901 p.218. Ouvert par la municipalité de Vallorbe.  Montant total des récompenses 3'000.-,"Regamey, Jaques;Isoz, Francis;Melley, Charles",1er  prix;Juré;Juré,,,"[array(['Regamey, Jaques'], dtype=object)
 array(['Isoz, Francis'], dtype=object)
 array(['Melley, Charles'], dtype=object)]",False,[2148 2149],1605
1606,Concours pour la reconstruction du village d'Euseigne,,,,,,Euseigne,,Suisse,1918-05-18,,Arch.valaisans,"Ouvert par l'Etat du Valais (DTP) aux architectes valaisans. Remarques du BTSR p.95, description p. 108. Delacoste semble absent lors de la deuxième séance du jury (4 juin) et remplacé par d'Allèves ","Grivaz, Henri;Regamey, Jaques;Witmer-Karrer, A;Delacoste;Rochat-Mercier, Frédéric;d'Allèves","Juré;;Juré, absent;Juré, président;Juré;Juré, remplaçant",,,"[array(['Grivaz, Henri'], dtype=object)
 array(['Regamey, Jaques'], dtype=object)
 array(['Witmer-Karrer, A'], dtype=object)
 array(['Delacoste'], dtype=object)
 array(['Rochat-Mercier, Frédéric'], dtype=object)
 array([""d'Allèves""], dtype=object)]",False,[992],1606
1607,Concours pour une école et une maison de commune au Châtelard (Montreux),,,,,,Montreux (Châtelard),,Vaud,1892-06-18,1892-09-30,A. national,"Ouvert par le conseil communal au niveau national. Brève description du programme SBZ vol. XIX p.170. Le conseil communal se réserve le droit d'adjoindre un membre avec voix consultative au jury; le cas échéant, l'identité de celui-ci reste inconnue. La publication du jugement du jury est tardive selon la SBZ vol. XX p.174 ","Juvet, Henri-Ed.-L;Melley, Charles;Cuénoud, Samuel","Juré;Juré;Juré, président",,,"[array(['Juvet, Henri-Ed.-L'], dtype=object)
 array(['Melley, Charles'], dtype=object)
 array(['Cuénoud, Samuel'], dtype=object)]",False,[1140],1607
